"","original_name","species_list_name"
"1","Cedrus deodara","Cedrus deodara"
"2","Quercus robur","Quercus robur"
"3","Chamaecyparis lawsoniana cv","Chamaecyparis lawsoniana Spp."
"4","Platanus x acerifolia","Platanus x acerifolia"
"5","Tilia cordata","Tilia cordata"
"6","Juglans regia","Juglans regia"
"7","Betula pendula","Betula pendula"
"8","Chamaecyparis lawsoniana Erect","Chamaecyparis lawsoniana Erecta"
"9","Acer platanoides","Acer platanoides"
"10","Tilia x europea","Tilia x europea"
"11","Alnus glutinosa Laciniata","Alnus glutinosa Laciniata"
"12","Tilia x europea","Tilia x europea"
"13","Acer platanoides","Acer platanoides"
"14","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
"15","Pinus strobus","Pinus strobus"
"16","Cedrus libani","Cedrus libani"
"17","Sorbus aria","Sorbus aria"
"18","Acer platanoides","Acer platanoides"
"19","Acer pseudoplatanus","Acer pseudoplatanus"
"20","Platanus x acerifolia","Platanus x acerifolia"
"21","ZZ Tree stump","Dead stump"
"22","Tilia - Species Unknown","Tilia Spp."
"23","Tilia x europea","Tilia x europea"
"24","Sorbus aucuparia","Sorbus aucuparia"
"25","Fraxinus excelsior","Fraxinus excelsior"
"26","Salix fragilis","Salix fragilis"
"27","Castanea sativa","Castanea sativa"
"28","Tilia cordata","Tilia cordata"
"29","Platanus x acerifolia","Platanus x acerifolia"
"30","Ulmus - Species Unknown","Ulmus Spp."
"31","ZZ Tree stump","Dead stump"
"32","Betula pendula","Betula pendula"
"33","Prunus - Species Unknown","Prunus Spp."
"34","Malus - Species Unknown","Malus Spp."
"35","Acer campestre","Acer campestre"
"36","Crataegus monogyna","Crataegus monogyna"
"37","Populus x canadensis Robusta","Populus x canadensis"
"38","Tilia - Species Unknown","Tilia Spp."
"39","Prunus - Species Unknown","Prunus Spp."
"40","Sorbus aucuparia","Sorbus aucuparia"
"41","Alnus glutinosa","Alnus glutinosa"
"42","Prunus avium","Prunus avium"
"43","Betula pendula","Betula pendula"
"44","Populus nigra Italica","Populus nigra Italica"
"45","Betula pendula","Betula pendula"
"46","Fraxinus excelsior","Fraxinus excelsior"
"47","Fraxinus excelsior","Fraxinus excelsior"
"48","Platanus x acerifolia","Platanus x acerifolia"
"49","Acer saccharinum","Acer saccharinum"
"50","Tilia - Species Unknown","Tilia Spp."
"51","Aesculus hippocastanum","Aesculus hippocastanum"
"52","Fraxinus excelsior","Fraxinus excelsior"
"53","Tilia - Species Unknown","Tilia Spp."
"54","Acer pseudoplatanus","Acer pseudoplatanus"
"55","Prunus Tai-haku","Prunus Taihaku"
"56","Acer campestre","Acer campestre"
"57","Carpinus betulus","Carpinus betulus"
"58","Salix alba","Salix alba"
"59","Acer pseudoplatanus","Acer pseudoplatanus"
"60","Crataegus monogyna","Crataegus monogyna"
"61","Tilia - Species Unknown","Tilia Spp."
"62","Populus tremula","Populus tremula"
"63","Crataegus monogyna","Crataegus monogyna"
"64","Pyrus salicifolia Pendula","Pyrus salicifolia Pendula"
"65","Acer platanoides","Acer platanoides"
"66","Platanus x acerifolia","Platanus x acerifolia"
"67","Acer platanoides","Acer platanoides"
"68","Pyrus - Species Unknown","Pyrus Spp."
"69","Alnus - Species Unknown","Alnus Spp."
"70","Liquidambar styraciflua 'Worp'","Liquidambar styraciflua Worplesdon"
"71","Platanus x acerifolia","Platanus x acerifolia"
"72","Prunus avium","Prunus avium"
"73","Sorbus aria","Sorbus aria"
"74","Crataegus monogyna","Crataegus monogyna"
"75","Betula pendula","Betula pendula"
"76","Ilex aquifolium","Ilex aquifolium"
"77","Pyrus calleryana Chanticleer","Pyrus calleryana Chanticleer"
"78","Sorbus aria","Sorbus aria"
"79","Fraxinus excelsior","Fraxinus excelsior"
"80","Acer saccharinum","Acer saccharinum"
"81","Betula pendula","Betula pendula"
"82","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
"83","Pyrus calleryana Chanticleer","Pyrus calleryana Chanticleer"
"84","Betula pendula","Betula pendula"
"85","ZZ Tree stump","Dead stump"
"86","Sorbus intermedia","Sorbus intermedia"
"87","Tilia - Species Unknown","Tilia Spp."
"88","Acer campestre","Acer campestre"
"89","Prunus - Species Unknown","Prunus Spp."
"90","Prunus Snow Goose","Prunus Snow goose"
"91","Aesculus hippocastanum","Aesculus hippocastanum"
"92","Platanus x acerifolia","Platanus x acerifolia"
"93","Betula pendula","Betula pendula"
"94","Thuja plicata Atrovirens","Thuja plicata Atrovirens"
"95","Prunus avium","Prunus avium"
"96","Tilia x europea","Tilia x europea"
"97","Prunus subhirtella Autumnalis","Prunus subhirtella Autumnalis"
"98","Platanus x acerifolia","Platanus x acerifolia"
"99","Tilia x europea","Tilia x europea"
"100","Aesculus hippocastanum","Aesculus hippocastanum"
"101","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
"102","Salix alba","Salix alba"
