Identifier,Sequence,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Physiological Condition,Capital Asset Value For Amenity Trees,Number Of Trees,Site Name,Site Address,Contract Area,Inspection Date,Inspection Due Date,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
45114,1,Sambucus nigra,Elder,0,0,0,Not Applicable,Not applicable,£0.00,1,Estate 8-10 Goldington Crescent,,Housing,,,E05000143,St Pancras and Somers Town,529602,183424,-0.132798,51.534851,"(51.534851, -0.132798)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
55890,16,Prunus 'Pandora',Cherry - Ornamental,2,1.5,4,Juvenile,Good,£115.07,1,RANULF ROAD,RANULF ROAD NW2,Highways,01/10/2015,2018/2019,E05000132,Fortune Green,525101,185837,-0.19681,51.557553,"(51.557553, -0.19681)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
10364,15,Tilia europaea,Lime - Common,17,12,67,Mature,Fair,£33899.31,1,Hilgrove Estate 1,,Housing,08/10/2015,2018/2019,E05000144,Swiss Cottage,526600,183931,-0.175882,51.540091,"(51.540091, -0.175882)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
52527,51,"Acer platanoides ""Prin. Gold""",Maple - Norway,3,2,4,Juvenile,Good,£138.09,1,CHESTERFORD GARDENS,CHESTERFORD GARDENS NW3,Highways,29/09/2015,2018/2019,E05000133,Frognal and Fitzjohns,525980,185504,-0.184243,51.554366,"(51.554366, -0.184243)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
15144,6,Acer saccharinum 'Laciniatum',Wier maple,19,12,43,Mature,Fair,£12411.54,1,Estate 1-30 New Priory Court (cons),,Housing,22/10/2015,2018/2019,E05000140,Kilburn,525339,184078,-0.193991,51.541698,"(51.541698, -0.193991)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
54956,3,"Acer platanoides ""Prin. Gold""",Maple - Norway,3,2,5,Juvenile,Dead,£239.74,1,FORTESS WALK,FORTESS WALK NW5,Highways,14/08/2017,2020/2021,E05000139,Kentish Town,528959,185372,-0.141348,51.552506,"(51.552506, -0.141348)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
1621,16,Acer campestre,Maple - Field,7,6,20,Middle aged,Fair,£2876.82,1,BEDFORD PLACE,BEDFORD PLACE WC1,Highways,03/06/2016,2019/2020,E05000129,Bloomsbury,530191,181859,-0.124896,51.520655,"(51.520655, -0.124896)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
20611,26,Platanus x hispanica,London plane,22,10,61,Mature,Good,£28099.65,1,TOTTENHAM COURT ROAD,TOTTENHAM COURT ROAD W1,Highways,27/06/2016,2019/2020,E05000129,Bloomsbury,529337,182139,-0.137093,51.523367,"(51.523367, -0.137093)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
16580,15,Tilia europaea,Lime - Common,9,7,34,Middle aged,Good,£11223.89,1,RAGLAN STREET,RAGLAN STREET NW5,Highways,27/07/2017,2020/2021,E05000139,Kentish Town,528881,184963,-0.142633,51.548848,"(51.548848, -0.142633)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
17073,78,Sorbus aucuparia 'Sheerwater,Rowan,9,3,21,Mature,Fair,£3383.14,1,Regents Park Estate 3,,Housing,23/08/2016,2019/2020,E05000142,Regent's Park,529129,182967,-0.13979,51.530857,"(51.530857, -0.13979)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
12662,15,Platanus x hispanica,London plane,16,6,61,Mature,Fair,£28099.65,1,LEIGHTON ROAD,LEIGHTON ROAD NW5,Highways,29/06/2017,2020/2021,E05000139,Kentish Town,529466,185195,-0.134104,51.550806,"(51.550806, -0.134104)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
17234,11,Platanus x hispanica,London plane,11,5,40,Mature,Good,£12082.63,1,ROCHESTER ROAD,ROCHESTER ROAD NW1,Highways,20/06/2017,2020/2021,E05000131,Cantelowes,528972,184580,-0.141456,51.545391,"(51.545391, -0.141456)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
57931,88,Liriodendron tulipifera,Tulip Tree,0,0,0,Not Applicable,Not applicable,£0.00,1,HAVERSTOCK HILL,HAVERSTOCK HILL NW3,Highways,,,E05000128,Belsize,527342,185081,-0.16477,51.550259,"(51.550259, -0.16477)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
22597,6,Sorbus aucuparia,"Rowan, Mountain Ash",5,2,10,Middle aged,Good,£863.04,1,WILMOT PLACE,WILMOT PLACE NW1,Highways,20/06/2017,2020/2021,E05000131,Cantelowes,529169,184412,-0.138672,51.543835,"(51.543835, -0.138672)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
57794,7,Koelreuteria paniculata,Golden Rain Tree,0,0,0,Not Applicable,Not applicable,£0.00,1,PECKWATER STREET,PECKWATER STREET NW5,Highways,22/06/2017,2020/2021,E05000139,Kentish Town,529230,185093,-0.137548,51.549942,"(51.549942, -0.137548)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
39183,27,Corylus colurna,Hazel - Turkish,7,4,16,Middle aged,Good,£1380.87,1,CHARLOTTE STREET,CHARLOTTE STREET W1,Highways,27/06/2016,2019/2020,E05000129,Bloomsbury,529314,181903,-0.137507,51.521253,"(51.521253, -0.137507)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
49632,25,Amelanchier lamarckii 'Robin H,June berry,4,2,7,Juvenile,Good,£352.41,1,OSENEY CRESCENT,OSENEY CRESCENT NW5,Highways,21/06/2017,2020/2021,E05000139,Kentish Town,529478,185003,-0.134008,51.54907,"(51.54907, -0.134008)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
